Name;Year;Theme;Theme_Group;Subtheme;Category;Packaging;Availability;Pieces;Minifigures;Owned
Special Three-Set Space Pack;1983;Space;Action/Adventure;Bonus/Value Pack;Collection;{Not specified};{Not specified};820;;1210
Town Value Pack;1983;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;1000;;750
Town 3-Pack;1984;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;970;;490
Town Value Pack;1984;Town;Modern day;Product Collection;Collection;{Not specified};{Not specified};780;;220
Space Value Pack;1984;Space;Action/Adventure;Bonus/Value Pack;Collection;Blister pack;{Not specified};970;;710
Town Value Pack;1985;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;1490;;450
Space Value Pack;1985;Space;Action/Adventure;Bonus/Value Pack;Collection;Box;Retail - limited;1510;;820
Town Value Pack;1985;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;970;;340
Space Value Pack;1985;Space;Action/Adventure;Bonus/Value Pack;Collection;Box;Retail - limited;840;;760
House and Car Building Sets;1986;Duplo;Pre-school;Bonus/Value Pack;Collection;Other;Unknown;200;;170
Town Value Pack;1986;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;880;;1180
Special Two-Set Space Pack;1986;Space;Action/Adventure;Bonus/Value Pack;Collection;Box;Retail - limited;960;;1580
2 For 1 Bonus Offer;1987;Castle;Historical;Bonus/Value Pack;Collection;Box;Retail - limited;1510;;1090
Two Pick Set;1987;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;1610;;130
Town Value Pack;1987;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;1610;;990
Special Two-Set Space Pack;1987;Space;Action/Adventure;Bonus/Value Pack;Collection;Box;Retail - limited;1510;;1200
Space Value Pack;1988;Space;Action/Adventure;Bonus/Value Pack;Collection;Box;Retail - limited;830;;900
Town Value Pack;1989;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;1050;;560
Special Two-Set Space Pack;1989;Space;Action/Adventure;Bonus/Value Pack;Collection;Box;Retail - limited;1320;;770
Triple Pack;1989;Assorted;Miscellaneous;;Collection;Box;Retail - limited;1590;;2670
Double Pack;1989;Pirates;Historical;Bonus/Value Pack;Collection;{Not specified};{Not specified};450;;4490
Three Set Bonus Pack;1990;Assorted;Miscellaneous;Bonus/Value Pack;Collection;Box with backing card;Retail - limited;1500;;1790
Helicopter;1990;Town;Modern day;Special;Collection;Box;Promotional;270;;400
Racer;1990;Town;Modern day;Special;Collection;Box;Promotional;230;;150
Tractor Loader;1990;Town;Modern day;Special;Collection;Box;Promotional;240;;450
Five Set Bonus Pack;1991;Assorted;Miscellaneous;Bonus/Value Pack;Collection;Box with backing card;Retail - limited;1580;;3020
Four Set Value Pack;1992;Assorted;Miscellaneous;Bonus/Value Pack;Collection;Other;Retail - limited;1600;50;5840
Castle Value Pack;1993;Castle;Historical;Bonus/Value Pack;Collection;Box;Retail - limited;1170;;2600
Magical Adventure Pack;1993;Castle;Historical;Bonus/Value Pack;Collection;Box;Retail - limited;2040;;310
Five Set Bonus Pack;1993;Assorted;Miscellaneous;Bonus/Value Pack;Collection;Box;Retail - limited;1560;;3290
Race Value Pack;1993;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;2200;;1260
Blacktron II Space Value Pack;1993;Space;Action/Adventure;Bonus/Value Pack;Collection;Box;Retail - limited;2090;;1090
Cactus Canyon Value Pack;1994;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;1330;;6610
Sandypoint Marina Value Pack;1994;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;1550;;4950
Town / Space Value Pack;1994;Assorted;Miscellaneous;Bonus/Value Pack;Collection;Box;Retail - limited;1060;;7400
Castle / Pirates Value Pack;1994;Assorted;Miscellaneous;Bonus/Value Pack;Collection;Box;Retail - limited;720;;5760
Barnacle Bay Value Pack;1994;Pirates;Historical;Bonus/Value Pack;Collection;Box;Retail - limited;890;;7730
Special Bonus Pack;1994;Assorted;Miscellaneous;Bonus/Value Pack;Collection;Box;Retail - limited;880;;230
Value Pack Italy;1995;Assorted;Miscellaneous;;Collection;{Not specified};{Not specified};910;;230
Value Pack Italy;1995;Town;Modern day;Product Collection;Collection;{Not specified};{Not specified};1560;;320
Space/Castle value pack;1996;Assorted;Miscellaneous;Bonus/Value pack;Collection;Box;Retail - limited;480;20;7320
Pneumatic Value Pack;1996;Service Packs;Miscellaneous;Technic;Collection;Polybag;LEGO exclusive;90;;260
UFO Action Pack;1997;Space;Action/Adventure;UFO;Collection;Box;Retail - limited;940;;310
Search Sub;1997;Technic;Technical;;Collection;Box;Retail;0;10;9620
Advent Calendar;1998;Classic;Basic;;Collection;Box;Retail - limited;1580;;3380
Insectoids Combined Set;1998;Space;Action/Adventure;Bonus/Value Pack;Collection;Box;Promotional;1720;;900
Big Value Collectors' Bucket;1998;Space;Action/Adventure;Insectoids;Collection;Bucket;{Not specified};1540;;80
Action Pack;1998;Town;Modern day;Product Collection;Collection;Box;Retail - limited;910;;430
Competition Racers and Stop Watch;1998;Technic;Technical;Product collection;Collection;Box;Retail - limited;;;760
World Cup Starter Set;1998;Town;Modern day;Product Collection;Collection;Box;Retail - limited;70;;1430
Space Port Value Pack;1999;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;1290;;2020
Team Transport;2000;Sports;Modern day;Football;Collection;Box;Retail;1310;60;4490
Polar Explorer;2000;Town;Modern day;Bonus/Value Pack;Collection;Box;Retail - limited;780;;5060
Alien Discovery;2001;Space;Action/Adventure;Life On Mars;Collection;Box;Retail - limited;1220;;2080
Soccer Co-Pack;2001;Sports;Modern day;Product Collection;Collection;Box;Retail;1290;;860
Football Co-Pack;2001;Sports;Modern day;Product Collection;Collection;Box;Retail - limited;1250;;110
Adidas Team Transport;2002;Sports;Modern day;Football;Collection;Box;Retail;1330;60;2870
Racers Turbo Pack;2002;Racers;Racing;Product Collection;Collection;Box;Retail - limited;860;;700
Bionicle Dual Pack: Lehvak & Pahrak;2002;Bionicle;Constraction;Product Collection;Collection;Box;Retail;820;;660
R2-D2 / C-3PO Droid Collectors Set;2002;Star Wars;Licensed;Product Collection;Collection;Box;{Not specified};5810;;3870
Alpha Team Secret Mission Collector's Pack;2002;Alpha Team;Action/Adventure;Product Collection;Collection;Box;Retail - limited;2410;;580
X-wing Fighter / TIE Fighter & Y-wing Collectors Set;2002;Star Wars;Licensed;Product Collection;Collection;Box;Retail - limited;6770;;700
Jango Fett's Slave I with Bonus Cargo Case;2002;Star Wars;Licensed;Product Collection;Collection;Box;Retail - limited;3690;;2580
Bonus/Value Pack;2002;Trains;Modern day;Product Collection;Collection;{Not specified};{Not specified};9510;;140
Takutanuva;2003;Bionicle;Constraction;Warriors;Collection;{Not specified};{Not specified};3990;;5570
Slam Dunk Trainer (Kabaya Co-Pack);2003;Sports;Modern day;Basketball;Collection;Shrink-wrapped;Retail - limited;190;10;50
Practice Shooting (Kabaya Co-Pack);2003;Sports;Modern day;Basketball;Collection;Shrink-wrapped;Retail - limited;170;10;40
Jump and Shoot (Kabaya Co-Pack);2003;Sports;Modern day;Basketball;Collection;Shrink-wrapped;Retail - limited;170;10;40
Happy Constructor;2003;Explore;Pre-school;Together;Collection;{Not specified};{Not specified};90;10;260
Emergency Vehicles Set;2003;Explore;Pre-school;Together;Collection;{Not specified};{Not specified};90;30;300
Ultimate Wheels;2003;Creator;Model making;Designer Set;Collection;Box;Retail;5140;;1590
Mech Lab;2003;Creator;Model making;Designer Set;Collection;Box;Retail;5540;;4290
Takutanuva;2003;Bionicle;Constraction;Warriors;Collection;{Not specified};{Not specified};3990;;3220
Slammer Stadium;2003;Sports;Modern day;Product Collection;Collection;Box;Retail;220;;1620
Street Basketball set with Spalding mini-basketball;2003;Sports;Modern day;Product Collection;Collection;Box;Retail;1860;;620
Rahkshi Kaita Za Pack;2003;Bionicle;Constraction;Product Collection;Collection;Box;Retail - limited;1620;;390
Bionicle twin-pack with gold mask;2003;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};500;;410
Bionicle twin-pack with gold mask;2003;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};500;;460
Bionicle twin-pack with gold mask;2003;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};500;;390
Bonus/Value Pack;2003;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1990;;140
Bonus/Value Pack;2003;Explore;Pre-school;Product Collection;Collection;{Not specified};{Not specified};350;;70
Bonus/Value Pack;2003;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};2400;;150
Bonus/Value Pack;2003;Creator;Model making;Product Collection;Collection;{Not specified};{Not specified};430;;80
Bonus/Value Pack;2003;Creator;Model making;Product Collection;Collection;{Not specified};{Not specified};360;;90
Bonus/Value Pack;2003;Racers;Racing;Product Collection;Collection;{Not specified};{Not specified};3060;;70
Bonus/Value Pack;2003;Creator;Model making;Product Collection;Collection;{Not specified};{Not specified};4960;;110
Star Wars MINI Bonus Pack;2003;Star Wars;Licensed;Product Collection;Collection;Box;Retail - limited;2770;;1030
Green Duplo Strata;2004;Duplo;Pre-school;;Collection;{Not specified};{Not specified};1390;;270
Ultimate Dume;2004;Bionicle;Constraction;Warriors;Collection;{Not specified};{Not specified};5520;;5760
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};920;;160
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};920;;150
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};970;;150
Bonus/Value Pack;2004;Castle;Historical;Product Collection;Collection;{Not specified};{Not specified};910;;130
Bonus/Value Pack;2004;Castle;Historical;Product Collection;Collection;{Not specified};{Not specified};940;;140
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};540;;140
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};540;;150
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};570;;150
Bonus/Value Pack;2004;Racers;Racing;Product Collection;Collection;{Not specified};{Not specified};1510;;60
Bonus/Value Pack;2004;Creator;Model making;Product Collection;Collection;{Not specified};{Not specified};1690;;70
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};920;;140
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};940;;150
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};950;;160
Bonus/Value Pack;2004;4 Juniors;Junior;Product Collection;Collection;{Not specified};{Not specified};760;;250
Bonus/Value Pack;2004;Creator;Model making;Product Collection;Collection;{Not specified};{Not specified};5000;;90
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};920;;150
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};940;;180
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};950;;210
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};540;;140
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};960;;160
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};960;;160
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};570;;140
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};540;;140
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1500;;180
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1530;;190
Bonus/Value Pack;2004;Clikits;Girls;Product Collection;Collection;{Not specified};{Not specified};690;;70
Bonus/Value Pack;2004;Duplo;Pre-school;Product Collection;Collection;{Not specified};{Not specified};290;;110
Bonus/Value Pack;2004;Spider-Man;Licensed;Product Collection;Collection;{Not specified};{Not specified};3100;;180
Motorised Hogwarts Express super pack;2004;Harry Potter;Licensed;Product collection;Collection;Box;Retail - limited;7240;;820
Bonus/Value Pack;2004;Castle;Historical;Product Collection;Collection;{Not specified};{Not specified};3700;;250
X-Pod Play Off Game Pack;2004;Creator;Model making;Miscellaneous;Collection;Box;Retail - limited;2190;;1850
Classic Freight Train;2004;Trains;Modern day;Product Collection;Collection;Box;Retail - limited;6080;;830
Bonus/Value Pack;2004;Clikits;Girls;Product Collection;Collection;{Not specified};{Not specified};480;;100
Bonus/Value Pack;2004;Clikits;Girls;Product Collection;Collection;{Not specified};{Not specified};480;;70
Bonus/Value Pack;2004;Clikits;Girls;Product Collection;Collection;{Not specified};{Not specified};520;;70
Special Edition Ta-Metru Collector's Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};750;;420
Bonus/Value Pack;2004;Racers;Racing;Product Collection;Collection;{Not specified};{Not specified};3100;;60
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1230;;150
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};960;;440
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};960;;260
Spider-Man Combined Set;2004;Spider-Man;Licensed;Product Collection;Collection;Box;Retail;10170;;410
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};2030;;150
Bonus/Value Pack;2004;Clikits;Girls;Product Collection;Collection;{Not specified};{Not specified};480;;70
Bonus/Value Pack;2004;Clikits;Girls;Product Collection;Collection;{Not specified};{Not specified};520;;70
Bonus/Value Pack;2004;Clikits;Girls;Product Collection;Collection;{Not specified};{Not specified};480;;70
Bonus/Value Pack;2004;Castle;Historical;Product Collection;Collection;{Not specified};{Not specified};870;;150
Bonus/Value Pack;2004;Castle;Historical;Product Collection;Collection;{Not specified};{Not specified};940;;170
Bonus/Value Pack;2004;Star Wars;Licensed;Product Collection;Collection;{Not specified};{Not specified};3630;;400
Bonus/Value Pack;2004;Spider-Man;Licensed;Product Collection;Collection;{Not specified};{Not specified};1850;;160
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};2140;;150
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};2140;;140
Bonus/Value Pack;2004;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};2140;;140
Bonus/Value Pack;2004;Creator;Model making;Product Collection;Collection;{Not specified};{Not specified};5000;;80
Trains Value Pack;2004;World City;Modern day;Product Collection;Collection;Box;Retail - limited;7350;;660
Bonus/Value Pack;2004;Creator;Model making;Product Collection;Collection;{Not specified};{Not specified};6710;;210
Ultimate Battle Set;2005;Bionicle;Constraction;Accessories;Collection;{Not specified};{Not specified};1900;;1250
Voporak;2005;Bionicle;Constraction;Warriors;Collection;{Not specified};{Not specified};6470;;3750
Rumble Racers;2005;Racers;Racing;Product Collection;Collection;Box;Retail - limited;3100;;230
The Grand Tournament with sword and shield;2005;Castle;Historical;Product Collection;Collection;{Not specified};{Not specified};3120;;520
Bonus/Value Pack;2005;City;Modern day;Product Collection;Collection;Box;Retail - limited;3120;;190
Bonus/Value Pack;2005;Racers;Racing;Product Collection;Collection;{Not specified};{Not specified};3480;;60
Bonus/Value Pack;2005;Bionicle;Constraction;Product Collection;Collection;Box;Retail - limited;2580;;380
Bonus/Value Pack;2005;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1430;;150
Bonus/Value Pack;2005;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1420;;150
City Construction Value Pack;2005;City;Modern day;Product Collection;Collection;Box;Retail - limited;2260;;1020
Special Edition Guardian Toa;2005;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1080;;3410
Bonus/Value Pack;2005;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1080;;150
Thomas Bridge & Tunnel Set;2005;Duplo;Pre-school;Product Collection;Collection;Box;Retail - limited;870;;720
Attack from the Sea;2005;Castle;Historical;Product Collection;Collection;Box;Retail - limited;3140;;2240
Knights' Value Pack;2005;Castle;Historical;Product Collection;Collection;Box;Retail - limited;870;;440
Vladek Value Pack;2005;Castle;Historical;Product Collection;Collection;Box;Retail - limited;860;;750
Episode III Collectors' Set;2005;Star Wars;Licensed;Product Collection;Collection;Plastic box;Retail - limited;5440;;3680
Bonus/Value Pack;2005;Duplo;Pre-school;Product Collection;Collection;Box;Retail - limited;530;;170
Bonus/Value Pack;2005;Castle;Historical;Product Collection;Collection;{Not specified};{Not specified};870;;120
City Fire Value Pack;2005;City;Modern day;Product Collection;Collection;Box;Retail - limited;5950;;590
Bonus/Value Pack;2005;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};2600;;150
Bonus/Value Pack;2005;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};960;;160
Bonus/Value Pack;2005;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1410;;140
Bonus/Value Pack;2005;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1440;;140
City Fire Value Pack;2005;City;Modern day;Product Collection;Collection;Box;Retail - limited;6630;;630
City Construction Value Pack;2005;City;Modern day;Product Collection;Collection;Box;Retail - limited;10120;;760
Toa Hordika Value Pack;2005;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1440;;730
Bonus/Value Pack;2005;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};1100;;140
Bonus/Value Pack;2005;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};2640;;230
Bonus/Value Pack;2005;Castle;Historical;Product Collection;Collection;{Not specified};{Not specified};1730;;130
Bonus/Value Pack;2005;Castle;Historical;Product Collection;Collection;{Not specified};{Not specified};2640;;120
Bonus/Value Pack;2005;Racers;Racing;Product Collection;Collection;{Not specified};{Not specified};3800;;60
Bonus/Value Pack;2005;Star Wars;Licensed;Product Collection;Collection;{Not specified};{Not specified};2440;;310
Bonus/Value Pack;2005;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};4250;;140
Bonus/Value Pack;2005;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};960;;140
Bonus/Value Pack;2005;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};3350;;160
Bonus/Value Pack;2005;Star Wars;Licensed;Product Collection;Collection;{Not specified};{Not specified};2800;;400
Bonus/Value Pack;2005;Star Wars;Licensed;Product Collection;Collection;{Not specified};{Not specified};3710;;430
Bionicle Co-pack;2005;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};4100;;350
Knights' Kingdom Co-pack;2005;Castle;Historical;Product Collection;Collection;Box;Retail - limited;2800;;190
Bonus/Value Pack;2005;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};1260;;140
Bonus/Value Pack;2005;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};1210;;150
Bonus/Value Pack;2005;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};2600;;150
Toa Hordika Super Pack 6-in-1;2005;Bionicle;Constraction;Product Collection;Collection;Box;Retail - limited;2880;;260
Bonus/Value Pack;2005;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};2080;;150
Bonus/Value Pack;2005;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};1210;;150
Bonus/Value Pack;2005;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};1260;;150
Bonus/Value Pack;2005;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};3350;;170
Bonus/Value Pack;2005;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};1850;;150
Bonus/Value Pack;2005;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};1260;;150
Bonus/Value Pack;2005;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};2080;;140
Bonus/Value Pack;2005;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};870;;150
Bonus/Value Pack;2005;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};990;;150
Bonus/Value Pack;2005;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};870;;150
Street Chase;2006;Racers;Racing;Tiny Turbos;Collection;Box;Retail;1980;;3480
Irnakk;2006;Bionicle;Constraction;Warriors;Collection;{Not specified};{Not specified};1240;;7750
Vezon & Kardas;2006;Bionicle;Constraction;Warriors;Collection;{Not specified};{Not specified};6700;;5730
City Emergency Service Vehicles (Multipack);2006;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};6180;;580
Bonus/Value Pack;2006;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};680;;160
Bonus/Value Pack;2006;Star Wars;Licensed;Product Collection;Collection;{Not specified};{Not specified};3020;;370
Bonus/Value Pack;2006;Exo-Force;Action/Adventure;Product Collection;Collection;{Not specified};{Not specified};3600;;170
Bonus/Value Pack;2006;Exo-Force;Action/Adventure;Product Collection;Collection;{Not specified};{Not specified};3740;;140
Bonus/Value Pack;2006;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};920;;150
Bonus/Value Pack;2006;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};920;;160
Bonus/Value Pack;2006;Star Wars;Licensed;Product Collection;Collection;{Not specified};{Not specified};3960;;360
Bonus/Value Pack;2006;Duplo;Pre-school;Product Collection;Collection;Plastic box;Retail - limited;1710;;120
City Airport Exclusive Pack;2006;City;Modern day;Product Collection;Collection;Box;Retail - limited;11230;;880
Bonus/Value Pack;2006;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1240;;270
Bonus/Value Pack;2006;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1240;;230
Bonus/Value Pack;2006;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};5490;;200
Bonus/Value Pack;2006;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};4740;;190
Bonus/Value Pack;2006;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};7850;;180
Bonus/Value Pack;2006;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};2450;;150
Bonus/Value Pack;2006;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};2420;;170
Bonus/Value Pack;2006;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};1410;;150
Bonus/Value Pack;2006;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};4330;;160
Bonus/Value Pack;2006;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};1410;;160
Bonus/Value Pack;2006;Exo-Force;Action/Adventure;Product Collection;Collection;Box;Retail - limited;5570;;140
Bonus/Value Pack;2006;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};4260;;210
Bonus/Value Pack;2006;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};6670;;150
Bonus/Value Pack;2006;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};2230;;140
Bonus/Value Pack;2006;Creator;Model making;Product Collection;Collection;{Not specified};{Not specified};2090;;70
Bonus/Value Pack;2006;Star Wars;Licensed;Product Collection;Collection;{Not specified};{Not specified};4370;;860
Bonus/Value Pack;2006;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};5250;;210
Bonus/Value Pack;2006;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};1180;;140
Bonus Pack;2007;Creator;Model making;;Collection;Box;Retail - limited;5420;;100
City Essential Vehicles Collection;2007;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};5260;;750
City Rescue Pack;2007;City;Modern day;Product Collection;Collection;Box;{Not specified};4670;;570
Bonus/Value Pack;2007;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1920;;210
Bonus/Value Pack;2007;Make and Create;Basic;Product Collection;Collection;{Not specified};{Not specified};9230;;160
Creative Building;2007;Duplo;Pre-school;Product Collection;Collection;{Not specified};{Not specified};1470;;140
City Medical Super Pack;2007;City;Modern day;Product Collection;Collection;Box;Retail - limited;8150;;810
City Super Pack;2007;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};10970;;1080
City Super Pack;2007;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};4960;;670
Bonus/Value Pack;2007;Creator;Model making;Product Collection;Collection;{Not specified};{Not specified};2860;;100
Bonus/Value Pack;2007;Exo-Force;Action/Adventure;Product Collection;Collection;{Not specified};{Not specified};5090;;110
Bonus/Value Pack;2007;Exo-Force;Action/Adventure;Product Collection;Collection;{Not specified};{Not specified};3590;;100
Mr. Magorium's big book;2007;Creator;Model making;Product Collection;Collection;Box;Retail - limited;3230;;1900
Bonus/Value Pack;2007;Duplo;Pre-school;Product Collection;Collection;{Not specified};{Not specified};1200;;120
Bonus/Value Pack;2007;Duplo;Pre-school;Product Collection;Collection;{Not specified};{Not specified};420;;120
Bonus/Value Pack;2007;Duplo;Pre-school;Product Collection;Collection;{Not specified};{Not specified};1430;;80
Bonus/Value Pack;2007;Creator;Model making;Product Collection;Collection;{Not specified};{Not specified};5660;;90
Bonus/Value Pack;2007;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1920;;150
City Trains Super Set;2007;City;Modern day;Product Collection;Collection;Box;{Not specified};12670;;710
Bonus/Value Pack;2007;Duplo;Pre-school;Product Collection;Collection;{Not specified};{Not specified};400;;120
City Fire Value Pack;2008;City;Modern day;Product Collection;Collection;Box;{Not specified};5950;;690
Build & Play Value Pack;2008;Duplo;Pre-school;Product Collection;Collection;{Not specified};{Not specified};1450;;300
Build & Play Value Pack;2008;Bricks and More;Basic;Product Collection;Collection;Other;Retail - limited;10210;;570
City Police Super Pack;2008;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};6500;;1220
Bonus/Value Pack;2008;City;Modern day;Product Collection;Collection;Box;{Not specified};3430;;320
City Emergency Services Value Pack;2008;City;Modern day;Product Collection;Collection;Box;{Not specified};10300;;1060
Bonus/Value Pack;2008;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};8250;;350
City Police Super Pack 4-in-1;2008;City;Modern day;Product Collection;Collection;Box;Retail - limited;11340;;1450
Bonus/Value Pack;2008;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};8210;;330
Bonus/Value Pack;2008;City;Modern day;Product Collection;Collection;Box;{Not specified};10240;;330
Bonus/Value Pack;2008;Duplo;Pre-school;Product Collection;Collection;{Not specified};{Not specified};700;;70
Bonus/Value Pack;2008;Duplo;Pre-school;Product Collection;Collection;{Not specified};{Not specified};420;;110
Bonus/Value Pack;2008;Duplo;Pre-school;Product Collection;Collection;{Not specified};{Not specified};1350;;110
Bonus/Value Pack;2008;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};1770;;170
Bonus/Value Pack;2008;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1000;;150
Bonus/Value Pack;2008;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1240;;150
Bonus/Value Pack;2008;Bionicle;Constraction;Product Collection;Collection;{Not specified};{Not specified};1160;;160
Bonus/Value Pack;2008;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};1920;;240
Bonus/Value Pack;2008;Racers;Racing;Product Collection;Collection;{Not specified};{Not specified};1430;;70
Bonus/Value Pack;2008;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};10770;;510
Bonus/Value Pack;2008;Bricks and More;Basic;Product Collection;Collection;{Not specified};{Not specified};6890;;180
Bonus/Value Pack;2008;Technic;Technical;Product Collection;Collection;{Not specified};{Not specified};7200;;130
City Super Pack 3 in 1;2008;City;Modern day;Product Collection;Collection;{Not specified};{Not specified};6080;;680
